file_name,streetview_id,latitude,longitude,altitude,date,time,distance,heading,streetview,project
GSfile,71,31.6688059,34.5740782,33.83,6/13/2022,11:36:10:185,10.81105047,76.97121304,GS010598_074.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,72,31.6687804,34.573968,34.152,6/13/2022,11:36:11:230,11.22040085,76.69797395,GS010598_075.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,73,31.6687534,34.5738538,34.419,6/13/2022,11:36:12:220,11.96107824,76.64145278,GS010598_076.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,74,31.6687245,34.5737321,34.665,6/13/2022,11:36:13:265,10.52815163,76.60750225,GS010598_077.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,75,31.668699,34.573625,34.889,6/13/2022,11:36:14:200,11.97163913,77.22816283,GS010598_078.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,76,31.6686713,34.5735028,35.018,6/13/2022,11:36:15:190,11.00931406,77.26625721,GS010598_079.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,77,31.6686459,34.5733904,35.182,6/13/2022,11:36:16:235,12.42969262,77.1176371,GS010598_080.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,78,31.6686169,34.5732636,35.464,6/13/2022,11:36:17:225,12.20859359,77.8113668,GS010598_081.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,79,31.6685899,34.5731386,35.74,6/13/2022,11:36:18:270,10.93912162,77.80745673,GS010598_082.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,80,31.6685657,34.5730266,35.919,6/13/2022,11:36:19:205,10.25973055,77.36125304,GS010598_083.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,81,31.6685422,34.5729218,35.876,6/13/2022,11:36:20:250,10.0121624,76.69368412,GS010598_084.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,82,31.6685181,34.5728199,36.258,6/13/2022,11:36:21:240,10.53778934,76.94695392,GS010598_085.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,83,31.6684932,34.5727125,36.481,6/13/2022,11:36:22:230,9.563842814,77.18558501,GS010598_086.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,84,31.668471,34.5726149,36.885,6/13/2022,11:36:23:275,10.07517507,77.51832021,GS010598_087.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,85,31.6684482,34.5725119,37.044,6/13/2022,11:36:24:265,9.857206251,76.47615511,GS010598_088.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,86,31.6684241,34.5724117,36.895,6/13/2022,11:36:25:200,10.51660951,76.97415935,GS010598_089.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,87,31.6683993,34.5723045,36.935,6/13/2022,11:36:26:245,9.962454386,74.41089769,GS010598_090.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,88,31.6683714,34.5722045,37.383,6/13/2022,11:36:27:235,10.0449447,75.30094737,GS010598_091.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,89,31.6683448,34.5721031,37.668,6/13/2022,11:36:28:225,10.84435141,76.90696297,GS010598_092.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,90,31.6683191,34.5719926,37.744,6/13/2022,11:36:29:270,9.67311596,78.33543667,GS010598_093.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,91,31.6682986,34.5718933,37.986,6/13/2022,11:36:30:205,10.30230481,79.01235938,GS010598_094.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,92,31.668278,34.5717872,38.182,6/13/2022,11:36:31:195,9.175614932,77.30943163,GS010598_095.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,93,31.6682569,34.5716935,38.257,6/13/2022,11:36:32:240,8.585679217,76.93844892,GS010598_096.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,94,31.6682366,34.571606,38.037,6/13/2022,11:36:33:230,7.637188344,73.70808123,GS010598_097.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,95,31.6682143,34.5715297,38.427,6/13/2022,11:36:34:275,6.049350342,75.12705982,GS010598_098.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,96,31.6681981,34.5714687,38.651,6/13/2022,11:36:35:265,5.185566343,75.78414652,GS010598_099.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,97,31.6681848,34.5714162,38.677,6/13/2022,11:36:36:255,5.014993571,73.9943245,GS010598_100.jpg,2022_RVGP_Israil_Data_Ph2
